category,division,order_in_list
Acquisition,1,1
Consultants,1,2
Authorities,1,3
Site Prep and Prelims,2,1
Earthworks,2,2
Foundations,2,3
Structure,2,4
Mezzanine,2,5
Roof,2,6
Car Park,2,7
External Works,2,8
Fitout,2,9
